species,strain,source_lab,latitude,longitude,landscape,substrate,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolation_date
C. briggsae,ECA1143,ECA,21.341914,-157.809842,Wild forest,Fruit,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,11/7/18
C. briggsae,ECA1144,ECA,21.341914,-157.809842,Wild forest,Fruit,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,11/7/18
C. briggsae,ECA1145,ECA,21.341914,-157.809842,Wild forest,Fruit,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,11/7/18
C. briggsae,ECA1146,ECA,21.341914,-157.809842,Wild forest,Fruit,22.2,23.3,NA,88.9,https://web.fulcrumapp.com/photos/view?photos=46442bd3-1fbd-4774-8d75-7f7bcbdcc69c,11/7/18
C. briggsae,ECA1147,ECA,21.341903,-157.809739,Wild forest,Leaf litter,22.3,24,NA,87.5,https://web.fulcrumapp.com/photos/view?photos=159bea5c-cd69-4689-b5b5-3db0c55f9813,11/8/18
C. briggsae,ECA1148,ECA,21.342875,-157.823939,Wild forest,Fruit,23.1,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=799682d7-b203-4fbe-af9c-ad1b7299c948,11/8/18
C. briggsae,ECA1149,ECA,21.342875,-157.823939,Wild forest,Fruit,23.1,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=799682d7-b203-4fbe-af9c-ad1b7299c948,11/8/18
C. briggsae,ECA1150,ECA,21.342875,-157.823939,Wild forest,Fruit,23.1,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=799682d7-b203-4fbe-af9c-ad1b7299c948,11/8/18
C. briggsae,ECA1151,ECA,21.343047,-157.823253,Wild forest,Fruit,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,11/8/18
C. briggsae,ECA1152,ECA,21.343047,-157.823253,Wild forest,Fruit,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,11/8/18
C. briggsae,ECA1153,ECA,21.342894,-157.822994,Wild forest,Fruit,22.8,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=9100782e-9bf5-4531-bdf9-639a4011e20b,11/8/18
C. briggsae,ECA1154,ECA,21.342894,-157.822994,Wild forest,Fruit,22.8,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=9100782e-9bf5-4531-bdf9-639a4011e20b,11/8/18
C. briggsae,ECA1155,ECA,21.342894,-157.822994,Wild forest,Fruit,22.8,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=9100782e-9bf5-4531-bdf9-639a4011e20b,11/8/18
C. briggsae,ECA1156,ECA,21.342894,-157.822994,Wild forest,Fruit,22.8,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=9100782e-9bf5-4531-bdf9-639a4011e20b,11/8/18
C. briggsae,ECA1157,ECA,21.3426,-157.822131,Wild forest,Fruit,22.3,23.3,NA,94.8,https://web.fulcrumapp.com/photos/view?photos=f170f553-d58c-4d31-ab9b-eccef8604f39,11/8/18
C. briggsae,ECA1158,ECA,21.3426,-157.822131,Wild forest,Fruit,22.3,23.3,NA,94.8,https://web.fulcrumapp.com/photos/view?photos=f170f553-d58c-4d31-ab9b-eccef8604f39,11/8/18
C. briggsae,ECA1159,ECA,21.3426,-157.822131,Wild forest,Fruit,22.3,23.3,NA,94.8,https://web.fulcrumapp.com/photos/view?photos=f170f553-d58c-4d31-ab9b-eccef8604f39,11/8/18
C. briggsae,ECA1160,ECA,21.342894,-157.822994,Wild forest,Fruit,22.8,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=9100782e-9bf5-4531-bdf9-639a4011e20b,11/8/18
C. briggsae,ECA1161,ECA,21.342894,-157.822994,Wild forest,Fruit,22.8,23.3,NA,96.7,https://web.fulcrumapp.com/photos/view?photos=9100782e-9bf5-4531-bdf9-639a4011e20b,11/8/18
C. briggsae,ECA1162,ECA,21.3426,-157.822131,Wild forest,Fruit,22.3,23.3,NA,94.8,https://web.fulcrumapp.com/photos/view?photos=f170f553-d58c-4d31-ab9b-eccef8604f39,11/8/18
C. briggsae,ECA1163,ECA,21.343047,-157.823253,Wild forest,Fruit,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,11/8/18
C. briggsae,ECA1164,ECA,21.343047,-157.823253,Wild forest,Fruit,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,11/8/18
C. briggsae,ECA1165,ECA,21.343047,-157.823253,Wild forest,Fruit,22.8,23.3,NA,96.3,https://web.fulcrumapp.com/photos/view?photos=ac0df661-fe54-46e9-ba73-1f88a286672a,11/8/18
C. briggsae,ECA1166,ECA,21.400847,-157.888639,Wild forest,Leaf litter,24,26,63,83,NA,11/9/18
C. briggsae,ECA1167,ECA,21.400847,-157.888639,Wild forest,Leaf litter,24,26,63,83,NA,11/9/18
C. briggsae,ECA1168,ECA,21.400847,-157.888639,Wild forest,Leaf litter,24,26,63,83,NA,11/9/18
C. briggsae,ECA1169,ECA,21.400847,-157.888639,Wild forest,Leaf litter,24,26,63,83,NA,11/9/18
C. briggsae,ECA1170,ECA,21.400847,-157.888639,Wild forest,Leaf litter,24,26,63,83,NA,11/9/18
C. briggsae,ECA1183,ECA,19.120506,-155.820061,Wild forest,Fruit,21.9,26,NA,72.8,https://web.fulcrumapp.com/photos/view?photos=1722d75a-6222-471e-8f12-90f159f09404,11/15/18
C. briggsae,ECA1177,ECA,20.040281,-155.441944,Wild forest,Fruit,20.9,23.3,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=8926a8e6-ff0b-40fc-af4e-7c9f353c6ab7,11/16/18
C. briggsae,ECA1178,ECA,20.040281,-155.441944,Wild forest,Fruit,20.9,23.3,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=8926a8e6-ff0b-40fc-af4e-7c9f353c6ab7,11/16/18
C. briggsae,ECA1179,ECA,20.040281,-155.441944,Wild forest,Fruit,20.9,23.3,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=8926a8e6-ff0b-40fc-af4e-7c9f353c6ab7,11/16/18
C. briggsae,ECA1180,ECA,20.040281,-155.441944,Wild forest,Fruit,20.9,23.3,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=8926a8e6-ff0b-40fc-af4e-7c9f353c6ab7,11/16/18
C. briggsae,ECA1181,ECA,20.040281,-155.441944,Wild forest,Fruit,20.9,23.3,NA,85.3,https://web.fulcrumapp.com/photos/view?photos=8926a8e6-ff0b-40fc-af4e-7c9f353c6ab7,11/16/18
C. briggsae,ECA1171,ECA,20.040306,-155.441989,Wild forest,Fruit,22.2,23.3,NA,84.1,https://web.fulcrumapp.com/photos/view?photos=67ce810c-fd6f-424e-829c-42f015c8f882,11/18/18
C. briggsae,ECA1172,ECA,20.040306,-155.441989,Wild forest,Fruit,22.2,23.3,NA,84.1,https://web.fulcrumapp.com/photos/view?photos=67ce810c-fd6f-424e-829c-42f015c8f882,11/18/18
C. briggsae,ECA1173,ECA,20.040306,-155.441989,Wild forest,Fruit,22.2,23.3,NA,84.1,https://web.fulcrumapp.com/photos/view?photos=67ce810c-fd6f-424e-829c-42f015c8f882,11/18/18
C. briggsae,ECA1174,ECA,20.040306,-155.441989,Wild forest,Fruit,22.2,23.3,NA,84.1,https://web.fulcrumapp.com/photos/view?photos=67ce810c-fd6f-424e-829c-42f015c8f882,11/18/18
C. briggsae,ECA1175,ECA,20.040306,-155.441989,Wild forest,Fruit,22.2,23.3,NA,84.1,https://web.fulcrumapp.com/photos/view?photos=67ce810c-fd6f-424e-829c-42f015c8f882,11/18/18
C. briggsae,ECA1176,ECA,20.040306,-155.441989,Wild forest,Fruit,22.2,23.3,NA,84.1,https://web.fulcrumapp.com/photos/view?photos=67ce810c-fd6f-424e-829c-42f015c8f882,11/18/18
C. briggsae,ECA1182,ECA,20.038611,-155.438067,Wild forest,Leaf litter,21.2,24.7,65.5,77.2,https://web.fulcrumapp.com/photos/view?photos=95453475-3c57-4559-9d09-2aed49b83e4e,11/19/18
C. elegans,ECA339,JU,44.8358,0.4948,Rural garden,Soil,NA,NA,NA,NA,NA,1/1/49
C. elegans,ECA253,CGC,51.45,-2.59,Urban garden,Compost,NA,NA,NA,NA,NA,1/1/51
C. elegans,ECA254,CFB,51.45,-2.59,Urban garden,Compost,NA,NA,NA,NA,NA,1/1/51
C. elegans,ECA255,CFB,51.45,-2.59,Urban garden,Compost,NA,NA,NA,NA,NA,1/1/51
C. elegans,ECA257,WN,51.45,-2.59,Urban garden,Compost,NA,NA,NA,NA,NA,1/1/51
C. elegans,ECA260,WN,21.33,-157.86,Rural garden,Fruit,NA,NA,NA,NA,NA,8/1/72
C. elegans,ECA249,CB,34.096,-117.719,NA,Rotting fungus,NA,NA,NA,NA,NA,11/1/72
C. elegans,ECA250,CB,34.096,-117.719,NA,Rotting fungus,NA,NA,NA,NA,NA,11/1/72
C. elegans,ECA251,CGC,34.1,-118.1,Urban garden,Flower,NA,NA,NA,NA,NA,6/1/73
C. elegans,ECA252,CB,34.1,-118.1,Urban garden,Flower,NA,NA,NA,NA,NA,6/1/73
C. elegans,ECA245,CGC,34.171,-118.131,Urban garden,Vegetable,NA,NA,NA,NA,NA,5/1/74
C. elegans,ECA246,CB,34.189,-118.131,Urban garden,Vegetable,NA,NA,NA,NA,NA,5/1/74
C. elegans,ECA247,CGC,37.43,-122.13,Urban garden,Compost,NA,NA,NA,NA,NA,1/1/82
