species,strain,source_lab,latitude,longitude,landscape,substrate,substrate_temp,ambient_temp,substrate_moisture,ambient_humidity,photo,isolation_date
C. elegans,ECA248,CB,37.44,-122.14,Urban garden,Compost,NA,NA,NA,NA,NA,1/1/82
C. elegans,ECA258,CFB,NA,NA,NA,Isopod,NA,NA,NA,NA,NA,11/28/98
C. elegans,ECA259,CGC,NA,NA,NA,Isopod,NA,NA,NA,NA,NA,11/28/98
C. elegans,ECA551,JU,44.42,4.4,Rural garden,Snail,NA,NA,NA,NA,NA,9/8/02
C. elegans,ECA571,VX,-1.05,36.39,Agricultural land,Compost,NA,NA,NA,NA,NA,5/17/06
C. elegans,ECA572,CB,-1.05,36.39,Agricultural land,Compost,NA,NA,NA,NA,NA,5/17/06
C. elegans,ECA589,JU,47.2199,0.04619,Agricultural land,Compost,NA,NA,NA,NA,NA,3/1/08
C. elegans,ECA615,JU,48.7015,2.1725,Rural garden,Rotting fruit,NA,NA,NA,NA,NA,9/8/08
C. elegans,ECA616,JU,48.7015,2.1725,Rural garden,Rotting fruit,NA,NA,NA,NA,NA,9/9/08
C. elegans,ECA36,ECA,-36.893333,174.745529,Urban garden,Leaf litter,NA,NA,NA,NA,NA,7/27/13
C. elegans,ECA552,JU,43.8658,5.0628,NA,Rotting fruit,NA,NA,NA,NA,NA,11/17/13
C. elegans,ECA189,ECA,19.423889,-155.2225,Forest,Soil,NA,NA,NA,NA,NA,7/9/14
C. elegans,ECA190,ECA,19.423889,-155.2225,Forest,Soil,NA,NA,NA,NA,NA,7/9/14
C. elegans,ECA191,ECA,19.424167,-155.221944,Forest,Rotting flower,NA,NA,NA,NA,NA,7/9/14
C. elegans,ECA192,ECA,19.424444,-155.221944,Forest,Compost,NA,NA,NA,NA,NA,7/9/14
C. elegans,ECA193,ECA,19.424444,-155.221944,Forest,Compost,NA,NA,NA,NA,NA,7/9/14
C. elegans,ECA348,ECA,37.775334,-122.253889,Urban garden,Rotting fruit,NA,NA,NA,NA,NA,12/30/15
C. elegans,ECA347,ECA,19.438889,-155.303611,Forest,Leaf litter,NA,NA,NA,NA,ECA347.jpg,2/7/16
C. elegans,ECA349,ECA,32.765758,-117.236741,Urban garden,Rotting nut,NA,NA,NA,NA,NA,2/9/16
C. elegans,ECA350,ECA,32.765353,-117.235442,Urban garden,Slug,NA,NA,NA,NA,NA,2/9/16
C. elegans,ECA363,ECA,20.723611,-156.304444,Forest,Leaf litter,NA,NA,NA,NA,ECA363.jpg,2/19/16
C. elegans,ECA369,ECA,21.175556,-157.006389,Forest,Leaf litter,NA,NA,NA,NA,ECA369.jpg,2/20/16
C. elegans,ECA372,ECA,22.121667,-159.664444,Forest,Leaf litter,NA,NA,NA,NA,ECA372.jpg,2/27/16
C. elegans,ECA393,ECA,19.449831,-155.235493,Rural garden,Compost,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA394,ECA,19.449831,-155.235493,Rural garden,Compost,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA395,ECA,19.449831,-155.235493,Rural garden,Soil,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA396,ECA,19.449831,-155.235493,Rural garden,Rotting fruit,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA397,ECA,19.449831,-155.235493,Rural garden,Rotting fruit,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA398,ECA,19.449831,-155.235493,Rural garden,Rotting fruit,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA399,ECA,19.449831,-155.235493,Rural garden,Rotting fruit,NA,NA,NA,NA,NA,5/17/16
C. elegans,ECA592,ECA,34.417128,-119.640915,Rural garden,Nut,NA,NA,NA,NA,NA,3/7/17
C. elegans,ECA593,ECA,34.418632,-119.642159,Rural garden,Flower,NA,NA,NA,NA,NA,3/7/17
C. elegans,ECA594,ECA,34.417532,-119.640673,Rural garden,Nut,NA,NA,NA,NA,NA,3/7/17
C. elegans,ECA640,ECA,34.065378,-118.441156,Urban garden,Rotting fruit,NA,NA,NA,NA,ECA640.jpg,6/22/17
C. elegans,ECA701,ECA,22.123283,-159.656428,Forest,Rotting flower,19.2,21.9,NA,79.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1175.jpg,8/11/17
C. elegans,ECA702,ECA,22.123283,-159.656428,Forest,Rotting flower,19.2,21.9,NA,79.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1175.jpg,8/11/17
C. elegans,ECA734,ECA,21.13927631,-156.9740559,Forest,Rotting flower,22.4,24.7,66.5,70.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg,8/12/17
C. elegans,ECA735,ECA,21.13927631,-156.9740559,Forest,Rotting flower,22.4,24.7,66.5,70.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg,8/12/17
C. elegans,ECA736,ECA,21.13927631,-156.9740559,Forest,Rotting flower,22.4,24.7,66.5,70.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg,8/12/17
C. elegans,ECA737,ECA,21.13927631,-156.9740559,Forest,Rotting flower,22.4,24.7,66.5,70.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg,8/12/17
C. elegans,ECA738,ECA,21.13927631,-156.9740559,Forest,Rotting flower,22.4,24.7,66.5,70.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-0736.jpg,8/12/17
C. elegans,ECA703,ECA,20.038831,-155.438922,Forest,Leaf litter,18.7,23.3,65,75,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg,8/13/17
C. elegans,ECA704,ECA,20.039783,-155.441517,Forest,Fruit,21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,8/13/17
C. elegans,ECA705,ECA,20.038831,-155.438922,Forest,Leaf litter,18.7,23.3,65,75,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg,8/13/17
C. elegans,ECA706,ECA,20.038831,-155.438922,Forest,Leaf litter,18.7,23.3,65,75,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg,8/13/17
C. elegans,ECA707,ECA,20.039783,-155.441517,Forest,Fruit,21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,8/13/17
C. elegans,ECA708,ECA,20.039783,-155.441517,Forest,Fruit,21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,8/13/17
C. elegans,ECA709,ECA,20.039783,-155.441517,Forest,Fruit,21.2,23.3,NA,75.9,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3164.jpg,8/13/17
C. elegans,ECA710,ECA,20.039656,-155.438103,Forest,Leaf litter,20.5,21.9,64,75.5,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3178.jpg,8/13/17
C. elegans,ECA716,ECA,20.039844,-155.441408,Forest,Fruit,22.2,23.3,NA,77.4,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3160.jpg,8/13/17
C. elegans,ECA717,ECA,20.039844,-155.441408,Forest,Fruit,22.2,23.3,NA,77.4,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3160.jpg,8/13/17
C. elegans,ECA718,ECA,20.039844,-155.441408,Forest,Fruit,22.2,23.3,NA,77.4,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3160.jpg,8/13/17
C. elegans,ECA719,ECA,20.039858,-155.441419,Forest,Fruit,19.6,22.6,NA,81.1,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.jpg,8/13/17
C. elegans,ECA720,ECA,20.039858,-155.441419,Forest,Fruit,19.6,22.6,NA,81.1,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.jpg,8/13/17
C. elegans,ECA721,ECA,20.039858,-155.441419,Forest,Fruit,19.6,22.6,NA,81.1,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3114.jpg,8/13/17
C. elegans,ECA822,ECA,20.038831,-155.438922,Forest,Leaf litter,18.7,23.3,65,75,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3133.jpg,8/13/17
C. elegans,ECA711,ECA,19.423864,-155.222478,Rural garden,Leaf litter,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,8/14/17
C. elegans,ECA712,ECA,19.423864,-155.222478,Rural garden,Leaf litter,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,8/14/17
C. elegans,ECA713,ECA,19.423864,-155.222478,Rural garden,Leaf litter,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,8/14/17
C. elegans,ECA714,ECA,19.423864,-155.222478,Rural garden,Leaf litter,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,8/14/17
C. elegans,ECA715,ECA,19.423864,-155.222478,Rural garden,Leaf litter,15.4,18.5,71.5,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3097.jpg,8/14/17
C. elegans,ECA722,ECA,19.423975,-155.222625,Rural garden,Leaf litter,14.7,18.5,70,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3085.jpg,8/14/17
C. elegans,ECA723,ECA,19.424272,-155.221661,Rural garden,Leaf litter,18,20.5,70.5,82,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2805.jpg,8/14/17
C. elegans,ECA724,ECA,19.439144,-155.303825,Forest,Leaf litter,18,23.3,64,68,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg,8/14/17
C. elegans,ECA725,ECA,19.439144,-155.303825,Forest,Leaf litter,18,23.3,64,68,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg,8/14/17
C. elegans,ECA726,ECA,19.439144,-155.303825,Forest,Leaf litter,18,23.3,64,68,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg,8/14/17
C. elegans,ECA727,ECA,19.439144,-155.303825,Forest,Leaf litter,18,23.3,64,68,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3007.jpg,8/14/17
C. elegans,ECA728,ECA,19.424272,-155.221661,Rural garden,Leaf litter,18,20.5,70.5,82,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2805.jpg,8/14/17
C. elegans,ECA729,ECA,19.424272,-155.221661,Rural garden,Leaf litter,18,20.5,70.5,82,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2805.jpg,8/14/17
C. elegans,ECA730,ECA,19.423869,-155.222483,Rural garden,Leaf litter,15,18.4,NA,94,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3058.jpg,8/14/17
C. elegans,ECA740,ECA,20.670022,-156.339189,Forest,Fruit,16.9,19.2,73.5,80.4,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1142.jpg,8/14/17
C. elegans,ECA741,ECA,20.6762,-156.338322,Forest,Fruit,18.2,18.5,68.5,90.1,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1329.jpg,8/14/17
C. elegans,ECA731,ECA,19.115886,-155.818386,Forest,Rotting Wood,20.4,25.4,42,76.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3266.jpg,8/15/17
C. elegans,ECA732,ECA,19.115403,-155.81845,Forest,Leaf litter,23.3,26,62,75.5,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3264.jpg,8/15/17
C. elegans,ECA733,ECA,19.115886,-155.818386,Forest,Rotting Wood,20.4,25.4,42,76.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3266.jpg,8/15/17
C. elegans,ECA744,ECA,19.719231,-155.949572,Forest,Leaf litter,17.5,23.3,66.5,80,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2677.jpg,8/15/17
C. elegans,ECA745,ECA,19.700464,-155.955839,Forest,Leaf litter,20.6,21.9,36,82.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2865.jpg,8/15/17
C. elegans,ECA746,ECA,19.115292,-155.819336,Forest,Leaf litter,18.5,23.3,53,85.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3270.jpg,8/15/17
C. elegans,ECA747,ECA,19.700464,-155.955839,Forest,Leaf litter,20.6,21.9,36,82.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2865.jpg,8/15/17
C. elegans,ECA742,ECA,20.80569,-156.2781,Forest,Leaf litter,18.2,22.9,30,67.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1489.jpg,8/16/17
C. elegans,ECA743,ECA,20.741871,-156.32317,Urban garden,Rotting flower,20.7,24.9,25.5,65.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-1480.jpg,8/16/17
C. elegans,ECA739,ECA,20.039869,-155.441619,Forest,Leaf litter,21.2,22.6,67.5,84.2,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg,8/17/17
C. elegans,ECA748,ECA,20.039847,-155.441492,Forest,Fruit,20.1,22.6,NA,81.8,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg,8/17/17
C. elegans,ECA749,ECA,20.039875,-155.441608,Forest,Rotting flower,20.1,22.6,NA,80.5,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2836.jpg,8/17/17
C. elegans,ECA750,ECA,20.039847,-155.441492,Forest,Fruit,20.1,22.6,NA,81.8,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg,8/17/17
C. elegans,ECA751,ECA,20.039847,-155.441492,Forest,Fruit,20.1,22.6,NA,81.8,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg,8/17/17
C. elegans,ECA752,ECA,20.039847,-155.441492,Forest,Fruit,20.1,22.6,NA,81.8,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg,8/17/17
C. elegans,ECA753,ECA,20.039847,-155.441492,Forest,Fruit,20.1,22.6,NA,81.8,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg,8/17/17
C. elegans,ECA754,ECA,20.039869,-155.441464,Forest,Leaf litter,21.6,21.9,68.5,85.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.jpg,8/17/17
C. elegans,ECA755,ECA,20.039869,-155.441464,Forest,Leaf litter,21.6,21.9,68.5,85.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3189.jpg,8/17/17
C. elegans,ECA756,ECA,20.039822,-155.441533,Forest,Fruit,20.2,22.6,NA,81.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.jpg,8/17/17
C. elegans,ECA757,ECA,20.039822,-155.441533,Forest,Fruit,20.2,22.6,NA,81.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.jpg,8/17/17
C. elegans,ECA758,ECA,20.039886,-155.441531,Forest,Fruit,19.4,23.3,NA,76.5,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.jpg,8/17/17
C. elegans,ECA759,ECA,20.039886,-155.441531,Forest,Fruit,19.4,23.3,NA,76.5,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3197.jpg,8/17/17
C. elegans,ECA760,ECA,20.039869,-155.441619,Forest,Leaf litter,21.2,22.6,67.5,84.2,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg,8/17/17
C. elegans,ECA761,ECA,20.039847,-155.441492,Forest,Fruit,20.1,22.6,NA,81.8,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2880.jpg,8/17/17
C. elegans,ECA762,ECA,20.039822,-155.441533,Forest,Fruit,20.2,22.6,NA,81.3,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2830.jpg,8/17/17
C. elegans,ECA763,ECA,20.039878,-155.441608,Forest,Leaf litter,20.7,22.6,70,82.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg,8/17/17
C. elegans,ECA764,ECA,20.039878,-155.441608,Forest,Leaf litter,20.7,22.6,70,82.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg,8/17/17
C. elegans,ECA765,ECA,20.039878,-155.441608,Forest,Leaf litter,20.7,22.6,70,82.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg,8/17/17
C. elegans,ECA766,ECA,20.039878,-155.441608,Forest,Leaf litter,20.7,22.6,70,82.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg,8/17/17
C. elegans,ECA767,ECA,20.039878,-155.441608,Forest,Leaf litter,20.7,22.6,70,82.7,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2840.jpg,8/17/17
C. elegans,ECA768,ECA,20.039914,-155.441556,Forest,Leaf litter,21.9,21.9,69,87.6,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2856.jpg,8/17/17
C. elegans,ECA769,ECA,20.039869,-155.441619,Forest,Leaf litter,21.2,22.6,67.5,84.2,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-2828.jpg,8/17/17
C. elegans,ECA770,ECA,20.039869,-155.441531,Forest,Fruit,19.4,24,NA,78.2,https://storage.googleapis.com/elegansvariation.org/photos/hawaii2017/C-3201.jpg,8/17/17
