s_label,strip_id,well_id,pcr1_plate_id,lysis_notes,pcr1_plate_well,gel1_band,band_notes,seq1_plate_id,seq1_well_id,seq1_species_id_oECA305,seq1_notes_oECA305,seq1_species_id_oECA306,seq1_notes_oECA306,seq1_species_id,pcr2_plate_id,pcr2_plate_well,seq2_plate_id,seq2_plate_well,seq2_species_id,seq2_notes,confirmed_species_id,ECA_name
S-07701,1,1,1,not picked,A01,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07702,1,2,1,,A02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07703,1,3,1,,A03,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07705,1,4,1,,A04,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07707,1,5,1,,A05,1,,1,A02,C. kamaaina,mismatched,C. kamaaina,0,C. kamaaina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07709,1,6,1,,A06,1,,1,A03,no match,0,C. kamaaina,mismatched,C. kamaaina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07711,1,7,1,,A07,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07713,1,8,1,,A08,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07718,1,9,1,,A09,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07727,1,10,1,,A10,1,,1,A04,C. kamaaina,mismatched,C. kamaaina,mismatched,C. kamaaina,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07742,1,11,1,,A11,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
positive control,1,12,1,,A12,1,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07745,2,1,1,,B01,1,,1,A05,no match,0,Mesorhabditis belari,0,Mesorhabditis belari,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
S-07757,2,2,1,,B02,0,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
