initial_spp_id,confirmed_species_id,ECA_name,s_label,box,position,last chunk,bleach,bleach transfer,Freeze box,chunk to freeze,10cm plates to Robyn,worms frozen,10cm gdna plate,DNA pellet,gDNA extracted,notes,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1181,S-09328,2,B3,5/9/19,5/13/19,5/14/19,101,5/20/19,1,5/28/19,,1,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1182,S-09666,2,D3,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. briggsae,C. briggsae,ECA1183,S-09805,2,D5,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1184,S-08069,1,B5,5/16/19,5/20/19,5/21/19,103,5/28/19,1,3/12/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1185,S-08076,1,C1,2/16/19,2/19/19,2/20/19,11,2/25/19,1,3/6/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1186,S-08083,1,C1,2/16/19,2/19/19,2/20/19,11,2/25/19,1,3/6/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1187,S-08121,1,C2,2/1/19,2/5/19,2/6/19,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1188,S-08122,1,C3,5/16/19,5/20/19,5/21/19,103,5/28/19,1,2/1/19,,1,,grew again for dna,,,,,,,,,,,
C. elegans,C. elegans,ECA1189,S-08123,1,C3,5/16/19,5/20/19,5/21/19,103,5/28/19,1,2/1/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1190,S-08124,1,C3,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1191,S-08129,1,C3,5/9/19,5/13/19,5/14/19,102,5/20/19,1,5/28/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1192,S-08146,1,C4,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1193,S-08148,1,C4,2/16/19,2/19/19,2/20/19,11,2/25/19,1,3/6/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1194,S-08170,1,C4,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1195,S-08177,1,C4,1/18/19,done,1/24/19,4,1/29/19,1,2/4/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1196,S-08249,1,C5,1/18/19,done,1/24/19,4,1/29/19,1,2/4/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1197,S-08255,1,C5,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1198,S-08256,1,C5,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1199,S-08288,1,C5,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1200,S-08376,1,D1,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1201,S-08490,1,D2,1/18/19,done,1/24/19,4,1/29/19,1,2/4/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1202,S-08492,1,D3,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1203,S-08519,1,D3,2/16/19,2/19/19,2/20/19,11,2/25/19,1,3/6/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1204,S-08520,1,D3,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1205,S-08527,1,D3,1/18/19,done,1/24/19,4,1/29/19,1,2/4/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1206,S-08528,1,D4,2/5/19,2/8/19,,,,1,2/25/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1207,S-08537,1,D4,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1208,S-08538,1,D4,1/18/19,done,1/24/19,4,1/29/19,1,2/4/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1209,S-08549,1,D5,5/23/19,5/27/19,5/28/19,,"5/28/2019, 6/3/19",1,"3/15/19, 6/5/2019",,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1210,S-08550,1,D5,2/5/19,2/8/19,,,,1,2/22/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1211,S-08551,1,D5,5/16/19,5/20/19,5/21/19,103,5/28/19,1,3/6/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1212,S-08566,1,E1,1/18/19,1/25/19,1/27/19,5,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1213,S-08567,1,E1,1/18/19,1/25/19,1/27/19,5,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1214,S-08568,1,E1,1/18/19,1/25/19,1/27/19,5,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1215,S-08672,1,E2,1/18/19,1/25/19,1/27/19,5,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1216,S-08693,1,E2,1/18/19,1/25/19,1/27/19,5,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1217,S-08694,1,E3,7/17/19,7/19/19,7/20/19,,,1,3/6/19,,1,,burrows,,,,,,,,,,,
C. elegans,C. elegans,ECA1218,S-08695,1,E3,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/8/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1219,S-08724,1,E3,1/18/19,1/25/19,1/27/19,5,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1220,S-08766,1,E3,1/18/19,1/25/19,1/27/19,6,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1221,S-08775,1,E4,5/16/19,5/20/19,5/21/19,104,5/28/19,1,3/6/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1222,S-08795,1,E4,1/18/19,1/25/19,1/27/19,6,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1223,S-08796,1,E4,1/18/19,1/25/19,1/27/19,6,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1224,S-08801,1,E4,1/18/19,1/25/19,1/27/19,6,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1225,S-08802,1,E5,1/18/19,1/25/19,1/27/19,6,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1226,S-08803,1,E5,5/16/19,5/20/19,5/21/19,104,5/28/19,1,3/6/19,,1,,only transferred 2L1,,,,,,,,,,,
C. elegans,C. elegans,ECA1227,S-08804,1,E5,5/16/19,5/20/19,5/21/19,104,5/28/19,1,3/6/19,,1,,burrows,,,,,,,,,,,
C. elegans,C. elegans,ECA1228,S-08865,2,A1,5/9/19,5/13/19,5/14/19,101,5/20/19,1,"3/12/19, 5/29/19",,1,,only transferred 2L1,,,,,,,,,,,
C. elegans,C. elegans,ECA1229,S-08914,2,A1,1/18/19,done,1/24/19,6,1/31/19,1,2/7/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1230,S-08915,2,A1,5/16/19,5/20/19,5/21/19,102,5/28/19,1,3/15/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1231,S-08921,2,A2,5/16/19,5/20/19,5/21/19,102,5/28/19,1,3/12/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1232,S-08925,2,A2,5/16/19,5/20/19,5/21/19,102,5/28/19,1,3/12/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1233,S-08936,2,A2,5/16/19,5/20/19,5/21/19,102,5/28/19,1,3/12/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1234,S-09041,2,A3,5/16/19,5/20/19,5/21/19,102,5/28/19,1,3/12/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1235,S-09042,2,A3,5/9/19,5/13/19,5/14/19,101,5/20/19,1,5/28/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1236,S-09043,2,A3,5/16/19,5/20/19,5/21/19,102,5/28/19,1,3/12/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1237,S-09045,2,A3,5/23/19,5/27/19,5/28/19,105,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1238,S-09058,2,A4,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1239,S-09060,2,A4,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1240,S-09066,2,A4,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/19/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1241,S-09074,2,A4,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1242,S-09080,2,A5,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,only transferred 3 L1,,,,,,,,,,,
C. elegans,C. elegans,ECA1243,S-09162,2,A5,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/19/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1244,S-09222,2,B1,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1245,S-09223,2,B1,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1246,S-09286,2,B1,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1247,S-09287,2,B1,5/23/19,5/27/19,5/28/19,,6/3/19,1,3/15/19,1,,,only transferred 3 L1,,,,,,,,,,,
C. elegans,C. elegans,ECA1248,S-09288,2,B2,5/9/19,5/13/19,5/14/19,101,5/20/19,1,5/28/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1249,S-09335,2,B3,5/9/19,5/13/19,5/14/19,101,5/20/19,1,5/29/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1250,S-09338,2,B3,5/9/19,5/13/19,5/14/19,102,5/20/19,1,5/29/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1251,S-09346,2,B4,5/9/19,5/13/19,5/14/19,102,5/20/19,1,5/29/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1252,S-09347,2,B4,5/9/19,5/13/19,5/14/19,102,5/20/19,1,5/29/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1253,S-09349,2,B4,9/3/19,,,,,,,,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1254,S-09369,2,B5,5/9/19,5/13/19,5/14/19,102,5/20/19,1,5/29/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1255,S-09370,2,B5,9/3/19,,,,,,,1,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1256,S-09374,2,B5,5/9/19,5/13/19,5/14/19,102,5/20/19,1,5/29/19,,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1257,S-09375,2,B5,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1258,S-09376,2,C1,9/3/19,,,,,,,1,1,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1259,S-09386,2,C1,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1260,S-09387,2,C1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1261,S-09410,2,C1,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1262,S-09417,2,C2,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,only transferred 4L1s,,,,,,,,,,,
C. elegans,C. elegans,ECA1263,S-09418,2,C2,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1264,S-09419,2,C2,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1265,S-09426,2,C2,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1266,S-09432,2,C3,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1267,S-09441,2,C3,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1268,S-09442,2,C3,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1269,S-09445,2,C4,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1270,S-09448,2,C4,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/10/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1271,S-09453,2,C4,5/23/19,5/27/19,5/28/19,,6/3/19,1,6/6/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1272,S-09468,2,C5,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1273,S-09469,2,C5,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1274,S-09479,2,D1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1275,S-09480,2,D1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1276,S-09545,2,D1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1277,S-09547,2,D1,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1278,S-09600,2,D2,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1279,S-09625,2,D2,5/30/19,6/3/19,6/4/19,,6/11/19,1,6/17/19,1,,,,,,,,,,,,,,
C. elegans,C. elegans,ECA1280,S-09653,2,D2,,,,,,,,,,,dead/lost/missing,,,,,,,,,,,
C. elegans,C. elegans,ECA1281,S-09654,2,D2,5/30/19,6/5/19,6/6/19,,6/11/19,1,6/17/19,1,,,slow,,,,,,,,,,,
